Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	All.height.median	Run	Rerun
Lonicera villosa	Lonicera.villosa	1	266	1	4434	NA	0	NA	0	4700	1	4	1	1	NA	SHRUB	NA	0.9144	1	NA
Luetkea pectinata	Luetkea.pectinata	1	229	1	18360	NA	0	NA	0	18589	1	4	1	1	NA	SUBSHRUB	NA	0.2	1	NA
Myrica gale	Myrica.gale	1	17673	1	34703	NA	0	NA	0	52376	1	4	1	1	NA	SHRUB	NA	2	1	NA
Oxycoccus microcarpus	Oxycoccus.microcarpus	1	10531	1	32897	NA	0	NA	0	43428	1	2	1	1	NA	SHRUB	NA	0.35	1	NA
Oxycoccus palustris	Oxycoccus.palustris	1	43541	1	68219	1	109	NA	0	111869	1	2	1	1	NA	SHRUB	NA	NA	1	NA
Phyllodoce aleutica	Phyllodoce.aleutica	1	144	1	20250	NA	0	NA	0	20394	1	3	1	1	NA	"SHRUB, SUBSHRUB"	NA	0.25	1	NA
Phyllodoce caerulea	Phyllodoce.caerulea	1	7215	1	10019	1	318	NA	0	17552	1	3	1	1	NA	"SHRUB, SUBSHRUB"	shrub	0.1198	1	NA
Picea abies	Picea.abies	1	43640	1	123058	NA	0	NA	0	166698	1	3	1	NA	1	TREE	tree	50	NA	1
Picea glauca	Picea.glauca	1	1387	NA	0	NA	0	1	66500	67887	1	4	1	NA	1	TREE	NA	30	NA	1
Picea mariana	Picea.mariana	1	499	NA	0	NA	0	1	68040	68539	1	4	1	NA	1	TREE	NA	25	NA	1
Pinus pumila	Pinus.pumila	1	60	1	15	NA	0	NA	0	75	1	2	1	1	NA	SHRUB 	NA	6	1	NA
Pinus sibirica	Pinus.sibirica	1	44	1	48211	NA	0	NA	0	48255	1	2	1	NA	1	TREE	NA	35	NA	1
Pinus sylvestris	Pinus.sylvestris	1	66317	1	111904	NA	0	NA	0	178221	1	2	1	NA	1	TREE	NA	40	NA	1
Populus balsamifera	Populus.balsamifera	1	1108	NA	0	NA	0	1	58704	59812	1	3	1	NA	1	TREE	tree	30	NA	1
Populus suaveolens	Populus.suaveolens	1	20	NA	0	NA	0	NA	0	20	1	4	1	NA	1	TREE	NA	30	NA	1
Populus tremula	Populus.tremula	1	53689	1	143297	NA	0	NA	0	196986	1	4	1	NA	1	TREE	NA	20	NA	1
Populus tremuloides	Populus.tremuloides	1	1390	1	73904	NA	0	NA	0	75294	1	4	1	NA	1	TREE	NA	35	NA	1
Prunus padus	Prunus.padus	1	36108	1	116155	NA	0	NA	0	152263	1	4	1	1	1	"SHRUB, TREE"	NA	NA	1	NA
Prunus pensylvanica	Prunus.pensylvanica	1	536	NA	0	NA	0	1	45622	46158	1	4	1	1	1	"SHRUB, TREE"	NA	NA	NA	1
Rhododendron adamsii	Rhododendron.adamsii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	1	NA	SHRUB	NA	NA	NA	NA
Rhododendron aureum	Rhododendron.aureum	1	30	NA	0	NA	0	NA	0	30	1	4	1	1	NA	DWARF-SHRUB	NA	1	NA	1
Rhododendron groenlandicum	Rhododendron.groenlandicum	1	861	1	87468	1	175	NA	0	88504	1	3	1	1	NA	SHRUB	shrub	0.95	1	NA
