"Genus.species"	"Order"	"Family"	"DS"	"log10MDD_Family"	"log10MDD_Family_lwrCL"	"log10MDD_Family_uppCL"	"log10MDD_Order"	"log10MDD_Order_lwrCL"	"log10MDD_Order_uppCL"	"log10MDD"	"log10MDD_lwrCL"	"log10MDD_uppCL"	"log10MDD_measured"	"Biomod.name"
"Ribes nigrum"	"Saxifragales"	"Grossulariaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.97777042128847	2.27101524967053	3.68452559290641	NA	"Ribes.nigrum"
"Ribes oxyacanthoides"	"Saxifragales"	"Grossulariaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.95770941866859	2.25242660876434	3.66299222857285	NA	"Ribes.oxyacanthoides"
"Ribes spicatum"	"Saxifragales"	"Grossulariaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.90174582089209	2.19142674460317	3.612064897181	NA	"Ribes.spicatum"
"Ribes triste"	"Saxifragales"	"Grossulariaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.79459516473303	2.0740128694382	3.51517746002787	NA	"Ribes.triste"
"Rosa acicularis"	"Rosales"	"Rosaceae"	"animal"	2.71615535259681	1.95392290463554	3.47838780055808	2.8673028866471	2.10507043868583	3.62953533460837	2.6588896575664	1.9546037006433	3.3631756144895	NA	"Rosa.acicularis"
"Rosa majalis"	"Rosales"	"Rosaceae"	"animal"	2.706623797826	1.94288109974706	3.47036649590494	2.85777133187629	2.09402863379735	3.62151402995523	2.64479075401015	1.939510079243	3.35007142877729	NA	"Rosa.majalis"
"Rubus acaulis"	"Rosales"	"Rosaceae"	"animal"	2.46083965120466	1.59782238891967	3.32385691348966	2.61198718525495	1.74896992296996	3.47500444753995	2.27058684638979	1.47924049249824	3.06193320028134	NA	"Rubus.acaulis"
"Rubus arcticus"	"Rosales"	"Rosaceae"	"animal"	2.56657551063838	1.71362022092353	3.41953080035324	2.71772304468867	1.86476775497382	3.57067833440353	2.4148952652332	1.63076185934509	3.19902867112131	NA	"Rubus.arcticus"
"Rubus chamaemorus"	"Rosales"	"Rosaceae"	"animal"	2.31365126326403	1.39324074995964	3.23406177656841	2.46479879731432	1.54438828400993	3.3852093106187	2.05864686489249	1.2144824233802	2.90281130640478	NA	"Rubus.chamaemorus"
"Rubus idaeus"	"Rosales"	"Rosaceae"	"animal"	2.79905999449315	2.04262362900969	3.55549635997662	2.95020752854344	2.19377116305998	3.70664389402691	2.77087626563457	2.07081131118125	3.47094122008788	2.9542	"Rubus.idaeus"
"Rubus pubescens"	"Rosales"	"Rosaceae"	"animal"	2.46012644912692	1.59677278385964	3.32348011439421	2.61127398317721	1.74792031790993	3.4746276484445	2.26953189076587	1.47787536857183	3.0611884129599	NA	"Rubus.pubescens"
"Rubus stellatus"	"Rosales"	"Rosaceae"	"animal"	2.46083965120466	1.59782238891967	3.32385691348966	2.61198718525495	1.74896992296996	3.47500444753995	2.27058684638979	1.47924049249824	3.06193320028134	NA	"Rubus.stellatus"
"Salix acutifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	2.66561809852461	2.06170127375678	3.26953492329244	2.52429250120724	1.92037567643941	3.12820932597507	2.66311233534495	2.13354008492296	3.19268458576693	NA	"Salix.acutifolia"
"Salix alaxensis"	"Malpighiales"	"Salicaceae"	"wind.special"	2.66561809852461	2.06170127375678	3.26953492329244	2.52429250120724	1.92037567643941	3.12820932597507	2.66311233534495	2.13354008492296	3.19268458576693	NA	"Salix.alaxensis"
"Salix arbuscula"	"Malpighiales"	"Salicaceae"	"wind.special"	2.24944905087829	1.50794842895947	2.99094967279711	2.10812345356091	1.36662283164209	2.84962407547973	1.8905777626551	1.20784651428758	2.57330901102261	NA	"Salix.arbuscula"
"Salix arbusculoides"	"Malpighiales"	"Salicaceae"	"wind.special"	2.63879122046863	2.03014267096734	3.24743976996992	2.49746562315126	1.88881707364997	3.10611417265254	2.62343050215808	2.08757341438589	3.15928758993027	NA	"Salix.arbusculoides"
"Salix arctica"	"Malpighiales"	"Salicaceae"	"wind.special"	2.14712907302853	1.28476349581592	3.00949465024114	2.00580347571116	1.14343789849855	2.86816905292376	1.71931871625807	0.920211080524398	2.51842635199174	NA	"Salix.arctica"
"Salix arctophila"	"Malpighiales"	"Salicaceae"	"wind.special"	1.97423793969469	1.1043516911277	2.84412418826168	1.83291234237732	0.963026093810323	2.70279859094431	1.48349046079428	0.678758115187532	2.28822280640103	NA	"Salix.arctophila"
"Salix argyrocarpa"	"Malpighiales"	"Salicaceae"	"wind.special"	2.31317148501979	1.59116598054593	3.03517698949364	2.17184588770241	1.44984038322856	2.89385139217626	1.98483483560213	1.31976051397924	2.64990915722501	NA	"Salix.argyrocarpa"
"Salix ballii"	"Malpighiales"	"Salicaceae"	"wind.special"	2.34574448624893	1.63193731100534	3.05955166149252	2.20441888893156	1.49061171368796	2.91822606417515	2.0330162303389	1.37513701123568	2.69089544944211	NA	"Salix.ballii"
"Salix barclayi"	"Malpighiales"	"Salicaceae"	"wind.special"	2.59769004282757	1.97983297569305	3.2155471099621	2.4563644455102	1.83850737837567	3.07422151264472	2.5626343829998	2.01513364370919	3.11013512229042	NA	"Salix.barclayi"
"Salix barrattiana"	"Malpighiales"	"Salicaceae"	"wind.special"	2.38561061788094	1.68012939051237	3.09109184524951	2.24428502056357	1.538803793195	2.94976624793214	2.09198549176119	1.4411466122302	2.74282437129218	NA	"Salix.barrattiana"
"Salix bebbiana"	"Malpighiales"	"Salicaceae"	"wind.none"	1.39116015192177	0.733488833812366	2.04883147003117	1.24983455460439	0.592163236494992	1.9075058727138	1.2952785027482	0.730057338773318	1.86049966672308	NA	"Salix.bebbiana"
"Salix berberifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	2.33019930478783	1.61263326295139	3.04776534662427	2.18887370747046	1.47130766563402	2.90643974930689	2.01002207886471	1.3488681474818	2.67117601024761	NA	"Salix.berberifolia"
"Salix boganidensis"	"Malpighiales"	"Salicaceae"	"wind.special"	2.33019930478783	1.61263326295139	3.04776534662427	2.18887370747046	1.47130766563402	2.90643974930689	2.01002207886471	1.3488681474818	2.67117601024761	NA	"Salix.boganidensis"
"Salix brachycarpa"	"Malpighiales"	"Salicaceae"	"wind.special"	2.38561061788094	1.68012939051237	3.09109184524951	2.24428502056357	1.538803793195	2.94976624793214	2.09198549176119	1.4411466122302	2.74282437129218	NA	"Salix.brachycarpa"
"Salix burjatica"	"Malpighiales"	"Salicaceae"	"wind.special"	2.68947440107523	2.08889326145174	3.29005554069873	2.54814880375786	1.94756766413437	3.14872994338135	2.69840014693054	2.17350758618363	3.22329270767746	NA	"Salix.burjatica"
"Salix calcicola"	"Malpighiales"	"Salicaceae"	"wind.special"	2.36004466701696	1.64944350347233	3.07064583056159	2.21871906969958	1.50811790615495	2.92932023324421	2.05416879928839	1.39904163457752	2.70929596399927	NA	"Salix.calcicola"
"Salix candida"	"Malpighiales"	"Salicaceae"	"wind.special"	2.31317148501979	1.59116598054593	3.03517698949364	2.17184588770241	1.44984038322856	2.89385139217626	1.98483483560213	1.31976051397924	2.64990915722501	NA	"Salix.candida"
"Salix caprea"	"Malpighiales"	"Salicaceae"	"wind.special"	2.80177966552727	2.2055434659488	3.39801586510574	2.66045406820989	2.06421786863142	3.25669026778836	2.86452006445104	2.34956127292689	3.37947885597519	NA	"Salix.caprea"
"Salix chamissonis"	"Malpighiales"	"Salicaceae"	"wind.special"	1.90179880683353	0.988704758387973	2.8148928552791	1.76047320951616	0.847379161070599	2.67356725796172	1.37633980463522	0.529814548789913	2.22286506048053	NA	"Salix.chamissonis"
"Salix cordata"	"Malpighiales"	"Salicaceae"	"wind.special"	2.50944613338531	1.81721945569092	3.2016728110797	2.36812053606794	1.67589385837354	3.06034721376233	2.27516074825578	1.6332322257544	2.91708927075715	NA	"Salix.cordata"
"Salix fuscescens"	"Malpighiales"	"Salicaceae"	"wind.special"	2.51117589064511	1.88103144330824	3.14132033798199	2.36985029332774	1.73970584599087	2.99999474066462	2.43712106715807	1.87394004660598	3.00030208771016	NA	"Salix.fuscescens"
"Salix glauca"	"Malpighiales"	"Salicaceae"	"wind.special"	2.2007365305582	1.4497656295197	2.95170743159671	2.05941093324083	1.30844003220232	2.81038183427934	1.82146918827294	1.13003510270148	2.5129032738444	NA	"Salix.glauca"
"Salix hastata"	"Malpighiales"	"Salicaceae"	"wind.special"	2.33016254075851	1.60617502960838	3.05415005190864	2.18883694344114	1.46484943229101	2.91282445459126	2.00711117328536	1.34015888625614	2.67406346031458	NA	"Salix.hastata"
"Salix herbacea"	"Malpighiales"	"Salicaceae"	"wind.special"	1.70142734697549	0.644612067874498	2.75824262607649	1.56010174965812	0.503286470557125	2.61691702875911	1.07793559100302	0.091537538030856	2.06433364397518	NA	"Salix.herbacea"
"Salix interior"	"Malpighiales"	"Salicaceae"	"wind.none"	1.43605920460806	0.781976436292094	2.09014197292403	1.29473360729069	0.640650838974721	1.94881637560666	1.36169237003562	0.800351649548513	1.92303309052272	NA	"Salix.interior"
"Salix krylovii"	"Malpighiales"	"Salicaceae"	"wind.special"	2.47687313215616	1.78305418749735	3.17069207681498	2.33554753483879	1.64172859017998	3.0293664794976	2.22697935351901	1.58464429050309	2.86931441653492	NA	"Salix.krylovii"
"Salix lanata"	"Malpighiales"	"Salicaceae"	"wind.special"	2.08574740374191	1.2754954503356	2.89599935714821	1.94442180642453	1.13416985301823	2.75467375983084	1.64843324473822	0.900993523976861	2.39587296549957	NA	"Salix.lanata"
