"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"	"Growth.form.isla"
"Artemisia globularia"	"Artemisia.globularia"	1	86	1	10134	NA	0	NA	0	10220	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.16	NA	""	1	NA	0.266458176	"Dwarf Shrubs"
"Artemisia glomerata"	"Artemisia.glomerata"	1	112	1	16900	NA	0	NA	0	17012	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.5	NA	""	1	NA	0.266458176	"Tall Shrubs"
"Artemisia gmelinii"	"Artemisia.gmelinii"	1	893	NA	0	NA	0	NA	0	893	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	1	NA	""	NA	1	0.266458176	"Tall Shrubs"
"Artemisia norvegica"	"Artemisia.norvegica"	1	982	1	20244	NA	0	NA	0	21226	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.6	NA	""	1	NA	0.266458176	"Tall Shrubs"
"Artemisia senjavinensis"	"Artemisia.senjavinensis"	1	150	1	1006	NA	0	NA	0	1156	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.9	NA	""	1	NA	0.266458176	"Tall Shrubs"
"Betula fruticosa"	"Betula.fruticosa"	1	188	1	22388	NA	0	NA	0	22576	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	3	200	""	1	NA	0.162686255	"Tall Shrubs"
"Betula glandulosa"	"Betula.glandulosa"	1	885	1	93518	1	150	NA	0	94553	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	2.25	200	"Normand.etal.2013.REST "	1	NA	0.128758223	"Tall Shrubs"
"Betula nana"	"Betula.nana"	1	30738	1	89412	1	232	NA	0	120382	1	1	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.455825	200	"Normand.etal.2013.REST "	1	NA	0.196614286	"Low Shrubs"
"Calluna vulgaris"	"Calluna.vulgaris"	1	62903	1	58872	NA	0	NA	0	121775	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.826	2	"Normand.etal.2013.REST "	1	NA	0.0345	"Tall Shrubs"
"Caragana jubata"	"Caragana.jubata"	1	66	NA	0	NA	0	NA	0	66	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	NA	1	NA	"Tall Shrubs"
"Cassiope lycopodioides"	"Cassiope.lycopodioides"	1	127	1	11725	NA	0	NA	0	11852	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.103653333	NA	""	1	NA	NA	"Dwarf Shrubs"
"Cassiope tetragona"	"Cassiope.tetragona"	1	1418	1	7995	1	387	NA	0	9800	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.103653333	NA	""	1	NA	NA	"Dwarf Shrubs"
"Chamaedaphne calyculata"	"Chamaedaphne.calyculata"	1	3510	1	154196	NA	0	NA	0	157706	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	2	"Normand.etal.2013.REST "	1	NA	NA	"Tall Shrubs"
"Chamaepericlymenum canadense"	"Chamaepericlymenum.canadense"	1	29	1	110709	1	7	NA	0	110745	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.2	2	""	1	NA	NA	"Low Shrubs"
"Chamaepericlymenum unalaschkense"	"Chamaepericlymenum.unalaschkense"	NA	0	1	241	NA	0	NA	0	241	1	4	1	1	NA	"SUBSHRUB "	NA	"SHRUB"	0.2	2	""	1	NA	NA	"Low Shrubs"
"Cotoneaster niger"	"Cotoneaster.niger"	1	652	1	43766	NA	0	NA	0	44418	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2.5	NA	""	1	NA	NA	"Tall Shrubs"
"Dasiphora fruticosa"	"Dasiphora.fruticosa"	1	2730	1	42024	NA	0	NA	0	44754	1	3	1	1	NA	"SHRUB"	"woody"	"SHRUB"	0.75	NA	""	1	NA	0.2635	"Tall Shrubs"
"Diapensia lapponica"	"Diapensia.lapponica"	1	3425	1	6376	1	269	NA	0	10070	1	3	1	1	NA	"PINCUSHIAN, SHRUB"	"shrub"	"SHRUB"	0.038	NA	""	1	NA	0.12	"Dwarf Shrubs"
"Diapensia obovata"	"Diapensia.obovata"	1	102	1	3585	NA	0	NA	0	3687	1	4	1	1	NA	"PINCUSHIAN, SHRUB"	NA	"SHRUB"	0.05	NA	""	1	NA	0.12	"Dwarf Shrubs"
"Dryas ajanensis"	"Dryas.ajanensis"	1	21	NA	0	NA	0	NA	0	21	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.074375	NA	""	NA	1	0.621723711	"Dwarf Shrubs"
"Dryas drummondii"	"Dryas.drummondii"	1	194	1	21852	NA	0	NA	0	22046	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.074375	NA	""	1	NA	0.621723711	"Dwarf Shrubs"
"Dryas incisa"	"Dryas.incisa"	1	36	NA	0	NA	0	NA	0	36	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.074375	NA	""	NA	1	0.621723711	"Dwarf Shrubs"
"Dryas integrifolia"	"Dryas.integrifolia"	1	507	1	79340	1	414	NA	0	80261	1	3	1	1	NA	"DWARF-SHRUB"	"shrub"	"SHRUB"	0.05	NA	""	1	NA	0.72	"Dwarf Shrubs"
"Dryas octopetala"	"Dryas.octopetala"	1	5547	1	19850	1	34	NA	0	25431	1	3	1	1	NA	"DWARF-SHRUB"	"shrub"	"SHRUB"	0.09875	NA	""	1	NA	0.523447422	"Dwarf Shrubs"
