"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"rerun1.leave.out0"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"
"Alnus viridis"	"Alnus.viridis"	1	1432	1	4108	1	53	NA	0	5593	1	1	1	1	1	1	"SHRUB, TREE"	"tree"	"TREE"	5.9375	95	"Normand.etal.2013.REST "	1	NA	8.206303428
"Amelanchier bartramiana"	"Amelanchier.bartramiana"	1	537	NA	0	NA	0	NA	0	537	1	1	4	1	1	NA	"SHRUB"	NA	"TREE"	5	NA	NA	NA	1	NA
"Andromeda glaucophylla"	"Andromeda.glaucophylla"	1	76	1	17978	1	2	NA	0	18056	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	0.7	NA	NA	1	NA	0.204708334
"Arctostaphylos uva-ursi"	"Arctostaphylos.uvaursi"	1	19704	1	89636	1	14	NA	0	109354	1	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.4	NA	NA	1	NA	10.95802134
"Arctous alpina"	"Arctous.alpina"	1	4416	1	22426	1	32	NA	0	26874	1	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.2	NA	NA	1	NA	67.87722805
"Arctous rubra"	"Arctous.rubra"	1	353	1	75363	NA	0	NA	0	75716	1	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.2	NA	NA	1	NA	2.23
"Artemisia canadensis"	"Artemisia.canadensis"	1	22	1	81184	NA	0	NA	0	81206	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	0.6	NA	NA	1	NA	0.266458176
"Artemisia dracunculus"	"Artemisia.dracunculus"	1	1234	1	138013	NA	0	NA	0	139247	1	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	1.5	NA	NA	1	NA	0.266458176
"Artemisia frigida"	"Artemisia.frigida"	1	92	1	90326	NA	0	NA	0	90418	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.6	NA	NA	1	1	0.266458176
"Artemisia globularia"	"Artemisia.globularia"	1	86	1	10134	NA	0	NA	0	10220	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.16	NA	NA	1	NA	0.266458176
"Artemisia glomerata"	"Artemisia.glomerata"	1	112	1	16900	NA	0	NA	0	17012	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.5	NA	NA	1	NA	0.266458176
"Artemisia gmelinii"	"Artemisia.gmelinii"	1	893	NA	0	NA	0	NA	0	893	1	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	1	NA	NA	NA	1	0.266458176
"Artemisia senjavinensis"	"Artemisia.senjavinensis"	1	150	1	1006	NA	0	NA	0	1156	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.9	NA	NA	1	NA	0.266458176
