"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"rerun1.leave.out0"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"
"Salix lanata"	"Salix.lanata"	1	4983	1	12946	NA	0	NA	0	17929	1	1	1	1	1	NA	"SHRUB"	"NA,shrub"	"SHRUB"	0.28	287	"Normand.etal.2013.REST "	1	NA	0.224083334
"Salix lapponum"	"Salix.lapponum"	1	4625	1	58274	NA	0	NA	0	62899	1	1	1	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.848992857	287	"Normand.etal.2013.REST "	1	NA	0.51
"Salix myrsinifolia"	"Salix.myrsinifolia"	1	9113	1	43074	NA	0	NA	0	52187	1	1	1	1	1	1	"SHRUB, TREE"	NA	"TREE"	7	287	NA	1	NA	0.18115942
"Salix myrsinites"	"Salix.myrsinites"	1	3941	1	9645	NA	0	NA	0	13586	1	1	2	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.215	287	"Normand.etal.2013.REST "	1	NA	0.411666667
"Salix myrtillifolia"	"Salix.myrtillifolia"	1	328	1	59810	NA	0	NA	0	60138	1	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.6	287	NA	1	NA	0.224083334
"Salix myrtilloides"	"Salix.myrtilloides"	1	4055	1	32583	NA	0	NA	0	36638	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	287	"Normand.etal.2013.REST "	1	NA	0.224083334
"Salix niphoclada"	"Salix.niphoclada"	1	370	1	24037	NA	0	NA	0	24407	1	1	1	1	1	NA	"SHRUB"	NA	"SHRUB"	2.7192	287	NA	1	NA	0.224083334
"Salix nummularia"	"Salix.nummularia"	1	2	1	6036	NA	0	NA	0	6038	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.03	287	NA	1	NA	0.224083334
"Salix ovalifolia"	"Salix.ovalifolia"	1	213	1	6478	NA	0	NA	0	6691	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.05	287	NA	1	NA	0.224083334
"Salix pedicellaris"	"Salix.pedicellaris"	1	182	1	3610	NA	0	NA	0	3792	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	287	NA	1	NA	0.224083334
"Salix pellita"	"Salix.pellita"	1	52	NA	0	NA	0	1	16357	16409	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	6	287	"Normand.etal.2013.REST "	NA	1	0.18115942
"Salix pentandra"	"Salix.pentandra"	1	5272	1	73955	NA	0	NA	0	79227	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	15	287	NA	1	NA	0.18115942
"Salix phlebophylla"	"Salix.phlebophylla"	1	260	1	27815	NA	0	NA	0	28075	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.07	287	NA	1	NA	0.224083334
"Salix phylicifolia"	"Salix.phylicifolia"	1	1367	1	60429	NA	0	NA	0	61796	1	1	2	1	1	1	"SHRUB, TREE"	"tree"	"SHRUB"	2.5	287	"Normand.etal.2013.REST "	1	NA	0.18115942
"Salix planifolia"	"Salix.planifolia"	1	955	1	117498	NA	0	NA	0	118453	1	1	2	1	1	1	"SHRUB, TREE"	"shrub"	"TREE"	5.6096	287	NA	1	NA	0.18115942
"Salix polaris"	"Salix.polaris"	1	1751	1	10504	NA	0	NA	0	12255	1	1	1	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"SHRUB"	0.055	287	NA	1	NA	0.224083334
"Salix pseudomonticola"	"Salix.pseudomonticola"	1	150	1	40305	NA	0	NA	0	40455	1	1	2	1	1	NA	"SHRUB"	NA	"TREE"	6	287	NA	1	NA	0.224083334
"Salix pseudomyrsinites"	"Salix.pseudomyrsinites"	1	118	NA	0	NA	0	NA	0	118	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	7	287	NA	NA	1	0.18115942
"Salix pulchra"	"Salix.pulchra"	1	586	1	67063	NA	0	NA	0	67649	1	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	2.569066667	287	NA	1	NA	0.224083334
"Salix pyrolifolia"	"Salix.pyrolifolia"	1	16	1	10105	NA	0	NA	0	10121	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	7	287	NA	1	NA	0.18115942
"Salix recurvigemmis"	"Salix.recurvigemmis"	NA	0	1	2526	NA	0	NA	0	2526	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.1	287	NA	1	NA	0.224083334
"Salix reptans"	"Salix.reptans"	1	1	1	3384	NA	0	NA	0	3385	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.1	287	NA	1	NA	0.224083334
"Salix reticulata"	"Salix.reticulata"	1	2481	1	19041	NA	0	NA	0	21522	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"SHRUB"	0.0875	287	NA	1	NA	0.1375
"Salix richardsonii"	"Salix.richardsonii"	1	417	1	5750	NA	0	NA	0	6167	1	1	1	1	1	1	"SHRUB, TREE"	"NA,shrub"	"TREE"	5.536	287	NA	1	NA	0.18115942
"Salix rosmarinifolia"	"Salix.rosmarinifolia"	1	499	1	55556	NA	0	NA	0	56055	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	287	NA	1	NA	0.224083334
"Salix saxatilis"	"Salix.saxatilis"	1	8	1	37466	NA	0	NA	0	37474	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.5	287	NA	1	NA	0.224083334
"Salix serissima"	"Salix.serissima"	1	114	1	45009	NA	0	NA	0	45123	1	1	2	1	1	NA	"SHRUB"	NA	"TREE"	5	287	NA	1	NA	0.224083334
"Salix sphenophylla"	"Salix.sphenophylla"	1	24	1	41496	NA	0	NA	0	41520	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.12	287	NA	1	NA	0.224083334
"Salix triandra"	"Salix.triandra"	1	11120	1	90098	NA	0	NA	0	101218	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	6	287	NA	1	NA	0.18115942
"Salix tschuktschorum"	"Salix.tschuktschorum"	1	2	1	19369	NA	0	NA	0	19371	1	1	2	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	1.1	287	NA	1	NA	0.224083334
"Salix tyrrellii"	"Salix.tyrrellii"	1	51	NA	0	NA	0	NA	0	51	1	1	2	1	1	NA	"SHRUB"	NA	"TREE"	3.5	287	NA	NA	1	0.224083334
"Salix uva-ursi"	"Salix.uvaursi"	1	55	NA	0	1	70	NA	0	125	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.05	287	NA	NA	1	0.224083334
"Salix vestita"	"Salix.vestita"	1	160	NA	0	NA	0	NA	0	160	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	287	NA	NA	1	0.224083334
"Salix viminalis"	"Salix.viminalis"	NA	0	1	75187	NA	0	NA	0	75187	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	7	287	NA	1	NA	0.18115942
"Sambucus racemosa"	"Sambucus.racemosa"	1	13931	1	59243	NA	0	NA	0	73174	1	1	4	1	1	NA	"SHRUB"	NA	"TREE"	5.8	NA	NA	1	NA	NA
"Shepherdia canadensis"	"Shepherdia.canadensis"	1	814	1	82707	NA	0	NA	0	83521	1	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	1.9144	NA	NA	1	NA	8.235958693
"Sibbaldia procumbens"	"Sibbaldia.procumbens"	1	5517	1	20473	1	272	NA	0	26262	1	1	3	1	1	NA	"SUBSHRUB, HERB"	"herbaceous"	"SHRUB"	0.03825	NA	NA	1	NA	0.5224
"Sorbus aucuparia"	"Sorbus.aucuparia"	1	98420	1	98038	NA	0	NA	0	196458	1	1	4	1	1	1	"SHRUB, TREE"	NA	"TREE"	15	138	"Normand.etal.2013.REST "	1	NA	NA
"Sorbus groenlandica"	"Sorbus.groenlandica"	1	2	NA	0	1	54	NA	0	56	1	1	4	1	1	1	"SHRUB, TREE"	NA	"SHRUB"	3	138	"Normand.etal.2013.REST "	NA	1	NA
"Sorbus sambucifolia"	"Sorbus.sambucifolia"	1	48	1	9409	NA	0	NA	0	9457	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	138	NA	1	NA	NA
"Sorbus scopulina"	"Sorbus.scopulina"	1	551	1	31663	NA	0	NA	0	32214	1	1	4	1	1	1	"SHRUB, TREE"	NA	"TREE"	4	138	NA	1	NA	NA
"Spiraea media"	"Spiraea.media"	1	65	1	23905	NA	0	NA	0	23970	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	1	NA	0.279138486
"Spiraea salicifolia"	"Spiraea.salicifolia"	1	763	NA	0	NA	0	NA	0	763	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	NA	1	0.279138486
"Spiraea stevenii"	"Spiraea.stevenii"	1	328	1	34226	NA	0	NA	0	34554	1	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.8	NA	NA	1	NA	0.279138486
"Swida alba"	"Swida.alba"	1	1603	1	30066	NA	0	NA	0	31669	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	3	NA	NA	1	NA	25.12450216
"Therorhodion glandulosum"	"Therorhodion.glandulosum"	1	47	1	11513	NA	0	NA	0	11560	1	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.1	NA	NA	1	NA	0.03
"Thymus praecox"	"Thymus.praecox"	1	14165	1	435	1	167	NA	0	14767	1	1	3	1	1	NA	"SUBSHRUB, HERB"	"herbaceous"	"SHRUB"	0.12	NA	NA	1	NA	0.1522
"Thymus serpyllum"	"Thymus.serpyllum"	1	12817	1	20621	NA	0	NA	0	33438	1	1	3	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.095	NA	NA	1	NA	0.2402
"Vaccinium caespitosum"	"Vaccinium.caespitosum"	1	312	1	44101	NA	0	NA	0	44413	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	"tree"	"SHRUB"	0.2524	138	NA	1	NA	0.087694489
"Vaccinium myrtilloides"	"Vaccinium.myrtilloides"	1	264	NA	0	NA	0	NA	0	264	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	1.15	138	NA	NA	1	0.287568182
"Vaccinium myrtillus"	"Vaccinium.myrtillus"	1	67230	1	83971	1	1	NA	0	151202	1	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.270682143	138	NA	1	NA	0.287568182
"Vaccinium ovalifolium"	"Vaccinium.ovalifolium"	1	435	1	14677	NA	0	NA	0	15112	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	138	NA	1	NA	0.287568182
"Vaccinium uliginosum"	"Vaccinium.uliginosum"	1	45358	1	210036	1	481	NA	0	255875	1	1	1	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.3225	138	"Normand.etal.2013.REST "	1	NA	0.265
"Vaccinium vitis-idaea"	"Vaccinium.vitisidaea"	1	49166	1	217933	1	170	NA	0	267269	1	1	2	1	1	NA	"DWARF-SHRUB"	"tree"	"SHRUB"	0.1575	138	NA	1	NA	6.28297548
"Veronica fruticans"	"Veronica.fruticans"	1	3342	1	5949	1	165	NA	0	9456	1	1	3	1	1	NA	"SHRUB"	"NA,shrub"	"SHRUB"	0.125	NA	NA	1	NA	0.1258
"Viburnum edule"	"Viburnum.edule"	1	679	1	76939	NA	0	NA	0	77618	1	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5548	1.616666667	"Svenning.and.Sandel.2013.Average.across.all.Viburnum.spp "	1	NA	33.03000834
"Artemisia gmelinii"	"Artemisia.gmelinii"	1	893	NA	0	NA	0	NA	0	893	NA	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	1	NA	NA	NA	1	0.266458176
