Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	Growth.form.height	All.height.median	Mig.rate.m.yr	Mig.rate.ref	Run	Rerun	Seed.Mass.Median	Seed.Mass.Median.Kew	DISP	DISP_INDK	DISP_VITTOZ	DISP_KEW	Complement_info	DISP_INDKMAN	VEGDISP_INDKMAN	DISP_TRY	Species	DS	GF	RH	SM.kew	SM.try	TV
Betula platyphylla	Betula.platyphylla	1	124	1	56635	NA	0	NA	0	56759	1	2	1	NA	1	TREE	NA	TREE	30	450		NA	1	0.219966667	NA	NA	NA	NA	NA	NA	NA	NA	NA	Betula platyphylla	NA	tree	1.4771212547	#VALEUR !	-0.6576431257	
Betula pubescens	Betula.pubescens	1	45625	1	11860	1	60	NA	0	57545	1	1	1	1	1	SHRUB, TREE	tree	TREE	20	450	Normand.etal.2013.REST 	1	NA	0.219966667	NA	NA	NA	NA	Wind	NA	NA	NA	Diaspore is blown by wind	Betula pubescens	wind.special	tree	1.3010299957	#VALEUR !	-0.6576431257	
Betula pumila	Betula.pumila	1	328	NA	0	NA	0	NA	0	328	1	2	1	1	NA	SHRUB	NA	TREE	4	450		NA	1	0.162686255	NA	NA	NA	NA	Wind	NA	NA	NA	NA	Betula pumila	wind.special	tree	0.6020599913	#VALEUR !	-0.7886491381	
Calluna vulgaris	Calluna.vulgaris	1	62903	1	58872	NA	0	NA	0	121775	1	3	1	1	NA	SHRUB	shrub	SHRUB	0.826	2	Normand.etal.2013.REST 	1	NA	0.0345	NA	Wind dispersal	endochory	6	NA	NA	NA	NA	unassisted	Calluna vulgaris	animal	shrub	-0.0830199527	#VALEUR !	-1.4621809049	
Caragana jubata	Caragana.jubata	1	66	NA	0	NA	0	NA	0	66	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Caragana jubata	NA	shrub	0.3010299957	#VALEUR !	#VALEUR !	
Cassiope lycopodioides	Cassiope.lycopodioides	1	127	1	11725	NA	0	NA	0	11852	1	2	1	1	NA	SHRUB	NA	SHRUB	0.103653333	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cassiope lycopodioides	NA	shrub	-0.9844167285	#VALEUR !	#VALEUR !	
Cassiope tetragona	Cassiope.tetragona	1	1418	1	7995	1	387	NA	0	9800	1	1	1	1	NA	SHRUB	shrub	SHRUB	0.103653333	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cassiope tetragona	NA	shrub	-0.9844167285	#VALEUR !	#VALEUR !	
Chamaedaphne calyculata	Chamaedaphne.calyculata	1	3510	1	154196	NA	0	NA	0	157706	1	4	1	1	NA	SHRUB	NA	SHRUB	1.5	2	Normand.etal.2013.REST 	1	NA	NA	0.11	NA	NA	NA	Unassisted	NA	NA	NA	NA	Chamaedaphne calyculata	wind.none	shrub	0.1760912591	-0.9586073148	#VALEUR !	
Chamaepericlymenum canadense	Chamaepericlymenum.canadense	1	29	1	110709	1	7	NA	0	110745	1	4	1	1	NA	SUBSHRUB, HERB	NA	SHRUB	0.2	2		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chamaepericlymenum canadense	NA	shrub	-0.6989700043	#VALEUR !	#VALEUR !	
Chamaepericlymenum unalaschkense	Chamaepericlymenum.unalaschkense	NA	0	1	241	NA	0	NA	0	241	1	4	1	1	NA	SUBSHRUB 	NA	SHRUB	0.2	2		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chamaepericlymenum unalaschkense	NA	shrub	-0.6989700043	#VALEUR !	#VALEUR !	
Cotoneaster niger	Cotoneaster.niger	1	652	1	43766	NA	0	NA	0	44418	1	4	1	1	NA	SHRUB	NA	SHRUB	2.5	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cotoneaster niger	NA	shrub	0.3979400087	#VALEUR !	#VALEUR !	
Dasiphora fruticosa	Dasiphora.fruticosa	1	2730	1	42024	NA	0	NA	0	44754	1	3	1	1	NA	SHRUB	woody	SHRUB	0.75	NA		1	NA	0.2635	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dasiphora fruticosa	NA	shrub	-0.1249387366	#VALEUR !	-0.5792193805	
Diapensia lapponica	Diapensia.lapponica	1	3425	1	6376	1	269	NA	0	10070	1	3	1	1	NA	PINCUSHIAN, SHRUB	shrub	SHRUB	0.038	NA		1	NA	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	Diapensia lapponica	NA	shrub	-1.4202164034	#VALEUR !	-0.920818754	
