Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	Growth.form.height	All.height.median	Mig.rate.m.yr	Mig.rate.ref	Run	Rerun	Seed.Mass.Median	Seed.Mass.Median.Kew	DISP	DISP_INDK	DISP_VITTOZ	DISP_KEW	Complement_info	DISP_INDKMAN	VEGDISP_INDKMAN	DISP_TRY	Species	DS	GF	RH	SM.kew	SM.try	TV
Salix sphenophylla	Salix.sphenophylla	1	24	1	41496	NA	0	NA	0	41520	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.12	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix sphenophylla	NA	shrub	-0.920818754	#VALEUR !	-0.6495904425	
Salix triandra	Salix.triandra	1	11120	1	90098	NA	0	NA	0	101218	1	2	1	1	1	SHRUB, TREE	NA	TREE	6	287		1	NA	0.18115942	NA	Wind dispersal	meteorochory	5	NA	NA	me	sw	NA	Salix triandra	wind.special	tree	0.7781512504	#VALEUR !	-0.7419390784	
Salix tschuktschorum	Salix.tschuktschorum	1	2	1	19369	NA	0	NA	0	19371	1	2	1	1	NA	DWARF-SHRUB	NA	SHRUB	1.1	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix tschuktschorum	NA	shrub	0.0413926852	#VALEUR !	-0.6495904425	
Salix tyrrellii	Salix.tyrrellii	1	51	NA	0	NA	0	NA	0	51	1	2	1	1	NA	SHRUB	NA	TREE	3.5	287		NA	1	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix tyrrellii	NA	tree	0.5440680444	#VALEUR !	-0.6495904425	
Salix udensis	Salix.udensis	1	322	NA	0	NA	0	NA	0	322	1	2	1	1	NA	SHRUB	NA	TREE	4.572	287		NA	1	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix udensis	NA	tree	0.6601062217	#VALEUR !	-0.6495904425	
Salix uva-ursi	Salix.uvaursi	1	55	NA	0	1	70	NA	0	125	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.05	287		NA	1	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix uva-ursi	NA	shrub	-1.3010299957	#VALEUR !	-0.6495904425	
Salix vestita	Salix.vestita	1	160	NA	0	NA	0	NA	0	160	1	2	1	1	NA	SHRUB	NA	SHRUB	1.5	287		NA	1	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix vestita	NA	shrub	0.1760912591	#VALEUR !	-0.6495904425	
Salix viminalis	Salix.viminalis	NA	0	1	75187	NA	0	NA	0	75187	1	2	1	1	1	SHRUB, TREE	NA	TREE	7	287		1	NA	0.18115942	NA	Wind dispersal	meteorochory	5	NA	NA	me	sw	NA	Salix viminalis	wind.special	tree	0.84509804	#VALEUR !	-0.7419390784	
Sambucus racemosa	Sambucus.racemosa	1	13931	1	59243	NA	0	NA	0	73174	1	4	1	1	NA	SHRUB	NA	TREE	5.8	NA		1	NA	NA	2.4	Endozoochory	dysochory	6	Animal	Mammals (non-bat)+birds	en dy	sr ws	NA	Sambucus racemosa	animal	tree	0.7634279936	0.3802112417	#VALEUR !	
Shepherdia canadensis	Shepherdia.canadensis	1	814	1	82707	NA	0	NA	0	83521	1	3	1	1	NA	SHRUB	NA	SHRUB	1.9144	NA		1	NA	8.235958693	NA	NA	NA	NA	Animal	Mammals	NA	NA	NA	Shepherdia canadensis	animal	shrub	0.2820326856	#VALEUR !	0.9157141598	
Sibbaldia procumbens	Sibbaldia.procumbens	1	5517	1	20473	1	272	NA	0	26262	1	3	1	1	NA	SUBSHRUB, HERB	herbaceous	SHRUB	0.03825	NA		1	NA	0.5224	NA	Endozoochory	boleochory	6	NA	NA	en bo	sr	NA	Sibbaldia procumbens	animal	shrub	-1.4173685605	#VALEUR !	-0.2819968317	
Sorbus aucuparia	Sorbus.aucuparia	1	98420	1	98038	NA	0	NA	0	196458	1	4	1	1	1	SHRUB, TREE	NA	TREE	15	138	Normand.etal.2013.REST 	1	NA	NA	3.2	Endozoochory	dysochory	6	Animal	Birds	en dy	sr ws	NA	Sorbus aucuparia	animal	tree	1.1760912591	0.5051499783	#VALEUR !	
Sorbus groenlandica	Sorbus.groenlandica	1	2	NA	0	1	54	NA	0	56	1	4	1	1	1	SHRUB, TREE	NA	SHRUB	3	138	Normand.etal.2013.REST 	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sorbus groenlandica	NA	shrub	0.4771212547	#VALEUR !	#VALEUR !	
Sorbus sambucifolia	Sorbus.sambucifolia	1	48	1	9409	NA	0	NA	0	9457	1	4	1	1	NA	SHRUB	NA	SHRUB	2	138		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sorbus sambucifolia	NA	shrub	0.3010299957	#VALEUR !	#VALEUR !	
Sorbus scopulina	Sorbus.scopulina	1	551	1	31663	NA	0	NA	0	32214	1	4	1	1	1	SHRUB, TREE	NA	TREE	4	138		1	NA	NA	3.6	NA	NA	NA	NA	NA	NA	NA	NA	Sorbus scopulina	NA	tree	0.6020599913	0.5563025008	#VALEUR !	
Spiraea betulifolia	Spiraea.betulifolia	1	317	1	34226	NA	0	NA	0	34543	1	3	1	1	NA	SHRUB	NA	SHRUB	0.9144	NA		1	NA	0.279138486	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spiraea betulifolia	NA	shrub	-0.0388637826	#VALEUR !	-0.5541802814	
Spiraea media	Spiraea.media	1	65	1	23905	NA	0	NA	0	23970	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		1	NA	0.279138486	NA	NA	NA	NA	NA	NA	bo at	sr	NA	Spiraea media	NA	shrub	0.3010299957	#VALEUR !	-0.5541802814	
Spiraea salicifolia	Spiraea.salicifolia	1	763	NA	0	NA	0	NA	0	763	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		NA	1	0.279138486	NA	NA	boleochory	NA	NA	NA	bo at 	au	NA	Spiraea salicifolia	wind.none	shrub	0.3010299957	#VALEUR !	-0.5541802814	
Spiraea stevenii	Spiraea.stevenii	1	328	1	34226	NA	0	NA	0	34554	1	3	1	1	NA	SHRUB	NA	SHRUB	0.8	NA		1	NA	0.279138486	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spiraea stevenii	NA	shrub	-0.096910013	#VALEUR !	-0.5541802814	
Swida alba	Swida.alba	1	1603	1	30066	NA	0	NA	0	31669	1	4	1	1	NA	SHRUB	NA	SHRUB	3	NA		1	NA	25.12450216	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swida alba	NA	shrub	0.4771212547	#VALEUR !	1.400097465	
Swida sericea	Swida.sericea	1	4557	1	106008	NA	0	NA	0	110565	1	3	1	1	1	SHRUB, TREE	shrub	SHRUB	2.7432	NA		1	NA	25.12450216	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swida sericea	NA	shrub	0.4382574721	#VALEUR !	1.400097465	
Therorhodion glandulosum	Therorhodion.glandulosum	1	47	1	11513	NA	0	NA	0	11560	1	3	1	1	NA	SHRUB	NA	SHRUB	0.1	NA		1	NA	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	Therorhodion glandulosum	NA	shrub	-1	#VALEUR !	-1.5228787453	
Thymus praecox	Thymus.praecox	1	14165	1	435	1	167	NA	0	14767	1	3	1	1	NA	SUBSHRUB, HERB	herbaceous	SHRUB	0.12	NA		1	NA	0.1522	NA	Unassisted dispersal	boleochory	4	NA	NA	NA	NA	NA	Thymus praecox	wind.none	shrub	-0.920818754	#VALEUR !	-0.8175853476	
Thymus serpyllum	Thymus.serpyllum	1	12817	1	20621	NA	0	NA	0	33438	1	3	1	1	NA	SUBSHRUB, HERB	NA	SHRUB	0.095	NA		1	NA	0.2402	NA	NA	NA	NA	NA	NA	bo my	kt sr	NA	Thymus serpyllum	wind.none	shrub	-1.0222763947	#VALEUR !	-0.6194269969	
Vaccinium caespitosum	Vaccinium.caespitosum	1	312	1	44101	NA	0	NA	0	44413	1	2	1	1	NA	SHRUB, SUBSHRUB	tree	SHRUB	0.2524	138		1	NA	0.087694489	NA	NA	NA	NA	NA	NA	NA	NA	NA	Vaccinium caespitosum	NA	shrub	-0.5979106494	#VALEUR !	-1.0570276982	
Vaccinium myrtilloides	Vaccinium.myrtilloides	1	264	NA	0	NA	0	NA	0	264	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	1.15	138		NA	1	0.287568182	NA	NA	NA	NA	NA	NA	NA	NA	NA	Vaccinium myrtilloides	NA	shrub	0.0606978404	#VALEUR !	-0.5412591682	
Vaccinium myrtillus	Vaccinium.myrtillus	1	67230	1	83971	1	1	NA	0	151202	1	1	1	1	NA	SHRUB	shrub	SHRUB	0.270682143	138		1	NA	0.287568182	NA	Endozoochory	dysochory	7	Animal	NA	en dy 	au	Animal	Vaccinium myrtillus	animal	shrub	-0.5675403939	#VALEUR !	-0.5412591682	
Vaccinium ovalifolium	Vaccinium.ovalifolium	1	435	1	14677	NA	0	NA	0	15112	1	2	1	1	NA	SHRUB	NA	SHRUB	1	138		1	NA	0.287568182	NA	NA	NA	NA	NA	NA	NA	NA	NA	Vaccinium ovalifolium	NA	shrub	0	#VALEUR !	-0.5412591682	
Vaccinium uliginosum	Vaccinium.uliginosum	1	45358	1	210036	1	481	NA	0	255875	1	1	1	1	NA	SHRUB	tree	SHRUB	0.3225	138	Normand.etal.2013.REST 	1	NA	0.265	NA	Endozoochory	endochory	6	Animal	NA	en dy 	au	Animal	Vaccinium uliginosum	animal	shrub	-0.491470281	#VALEUR !	-0.5767541261	
Vaccinium vitis-idaea	Vaccinium.vitisidaea	1	49166	1	217933	1	170	NA	0	267269	1	2	1	1	NA	DWARF-SHRUB	tree	SHRUB	0.1575	138		1	NA	6.28297548	NA	Endozoochory	endochory	7	Animal	NA	en dy 	au	Animal	Vaccinium vitis-idaea	animal	shrub	-0.8027194419	#VALEUR !	0.7981653648	
Veronica fruticans	Veronica.fruticans	1	3342	1	5949	1	165	NA	0	9456	1	3	1	1	NA	SHRUB	NA,shrub	SHRUB	0.125	NA		1	NA	0.1258	NA	Unassisted dispersal	boleochory	1	NA	NA	NA	NA	NA	Veronica fruticans	wind.none	shrub	-0.903089987	#VALEUR !	-0.9003193589	
Viburnum edule	Viburnum.edule	1	679	1	76939	NA	0	NA	0	77618	1	3	1	1	NA	SHRUB	NA	SHRUB	1.5548	1.616666667	Svenning.and.Sandel.2013.Average.across.all.Viburnum.spp 	1	NA	33.03000834	NA	NA	NA	NA	NA	NA	NA	NA	NA	Viburnum edule	NA	shrub	0.191674532	#VALEUR !	1.5189086833	
